13742;38;3396.91;9.90;1479.71;-1.57;0.08
13743;38;3392.71;9.90;1478.28;-1.57;0.08
3672;38;3514.71;10.30;1384.39;-1.57;0.28
14194;38;3123.22;9.70;1618.45;-1.57;0.08
13411;38;1175.44;14.50;1532.72;-1.57;0.08
14082;38;3076.62;9.80;1482.40;-1.57;0.12
14080;38;3073.07;9.80;1481.43;-1.57;0.12
9924;38;2999.14;10.70;1401.30;-1.57;0.16
14208;38;3505.00;9.80;1492.64;-1.57;0.12
3529;38;3498.38;9.80;1490.86;-1.57;0.16
1369;38;4159.46;10.70;1599.95;-1.57;0.28
476;38;3243.94;10.20;1496.86;-1.57;0.28
3878;38;1660.61;9.70;1558.15;-1.57;0.12
6882;38;1646.28;9.60;1554.67;-1.57;0.16
14282;38;4093.21;10.40;1626.31;-1.57;0.16
14288;38;3948.45;10.40;1630.53;0.00;1.00
14291;38;3945.25;10.40;1628.09;0.00;1.00
13986;38;3116.68;10.20;1523.97;-1.57;0.16
9427;38;3118.91;12.10;1520.86;-1.57;0.08
13939;38;3093.86;10.40;1605.55;-1.57;0.12
362;38;3097.56;9.70;1608.51;-1.57;0.12
3499;38;3002.81;9.80;1561.90;-1.57;0.24
9354;38;3561.90;10.60;1618.00;-1.57;0.28
11542;38;3030.94;10.90;1520.50;-1.57;0.12
14084;38;3027.33;11.20;1522.28;-1.57;0.12
